"","nodes","nTree","r2"
"874",74,9,0.862167644904937
"875",75,9,0.862167644904937
"876",76,9,0.854728882882724
"877",77,9,0.851794763637712
"878",78,9,0.833453644384771
"879",79,9,0.822696673326437
"880",80,9,0.832938524427837
"881",81,9,0.832938524427837
"882",82,9,0.832938524427837
"883",83,9,0.832938524427837
"884",84,9,0.832938524427837
"885",85,9,0.832938524427837
"886",86,9,0.844413227113312
"887",87,9,0.844413227113312
"888",88,9,0.831320828447773
"889",89,9,0.831320828447773
"890",90,9,0.831320828447773
"891",91,9,0.83071034186899
"892",92,9,0.844582673912112
"893",93,9,0.831967602391851
"894",94,9,0.822273146989207
"895",95,9,0.822273146989207
"896",96,9,0.829913528049143
"897",97,9,0.827028258720313
"898",98,9,0.822972062748169
"899",99,9,0.822972062748169
"900",100,9,0.865855260856632
"901",1,10,0.977702431529452
"902",2,10,0.974643556204623
"903",3,10,0.968088161074274
"904",4,10,0.972801804079418
"905",5,10,0.970484689560964
"906",6,10,0.966189434146919
"907",7,10,0.960072873098908
"908",8,10,0.959218665948212
"909",9,10,0.958638688713417
"910",10,10,0.952451795090352
"911",11,10,0.951777251097647
"912",12,10,0.939519998956623
"913",13,10,0.952271264585759
"914",14,10,0.950099583010379
"915",15,10,0.945876314099288
"916",16,10,0.949417983550953
"917",17,10,0.942317173523027
"918",18,10,0.942826842487814
"919",19,10,0.926223229673236
"920",20,10,0.93409129067323
"921",21,10,0.932267842923966
"922",22,10,0.932281413279809
"923",23,10,0.943654470653315
"924",24,10,0.917873681159201
"925",25,10,0.938777814953972
"926",26,10,0.913828010262889
"927",27,10,0.92597125770563
